PKEY=1, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=HW, ITEM_ID=1, SCORE=4
PKEY=21, STUDENT_ID=2, FNAME=EMILY, LNAME=SMITH, TYPE=EX, ITEM_ID=3, SCORE=27
PKEY=22, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=1, SCORE=3
PKEY=23, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=2, SCORE=3
PKEY=24, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=3, SCORE=5
PKEY=25, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=4, SCORE=5
PKEY=26, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=5, SCORE=3
PKEY=27, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=6, SCORE=3
PKEY=28, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=7, SCORE=4
PKEY=29, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=8, SCORE=5
PKEY=30, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=9, SCORE=4
PKEY=31, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=10, SCORE=5
PKEY=32, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=HW, ITEM_ID=11, SCORE=5
PKEY=33, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=QU, ITEM_ID=1, SCORE=10
PKEY=34, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=QU, ITEM_ID=2, SCORE=6
PKEY=35, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=QU, ITEM_ID=3, SCORE=6
PKEY=36, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=QU, ITEM_ID=4, SCORE=8
PKEY=37, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=QU, ITEM_ID=5, SCORE=7
PKEY=38, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=QU, ITEM_ID=6, SCORE=8
PKEY=39, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=QU, ITEM_ID=7, SCORE=9
PKEY=40, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=EX, ITEM_ID=1, SCORE=29
PKEY=41, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=EX, ITEM_ID=2, SCORE=28
PKEY=42, STUDENT_ID=3, FNAME=EMMA, LNAME=JOHNSON, TYPE=EX, ITEM_ID=3, SCORE=24
PKEY=43, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=1, SCORE=3
PKEY=44, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=2, SCORE=4
PKEY=45, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=3, SCORE=4
PKEY=46, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=4, SCORE=5
PKEY=47, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=5, SCORE=3
PKEY=48, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=6, SCORE=3
PKEY=49, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=7, SCORE=4
PKEY=50, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=8, SCORE=4
PKEY=51, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=9, SCORE=5
PKEY=52, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=10, SCORE=4
PKEY=53, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=HW, ITEM_ID=11, SCORE=3
PKEY=54, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=QU, ITEM_ID=1, SCORE=10
PKEY=55, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=QU, ITEM_ID=2, SCORE=6
PKEY=56, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=QU, ITEM_ID=3, SCORE=5
PKEY=57, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=QU, ITEM_ID=4, SCORE=7
PKEY=58, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=QU, ITEM_ID=5, SCORE=8
PKEY=59, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=QU, ITEM_ID=6, SCORE=8
PKEY=60, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=QU, ITEM_ID=7, SCORE=8
PKEY=61, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=EX, ITEM_ID=1, SCORE=34
PKEY=62, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=EX, ITEM_ID=2, SCORE=33
PKEY=63, STUDENT_ID=4, FNAME=MADISON, LNAME=WILLIAMS, TYPE=EX, ITEM_ID=3, SCORE=27
PKEY=64, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=1, SCORE=4
PKEY=65, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=2, SCORE=5
PKEY=66, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=3, SCORE=4
PKEY=67, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=4, SCORE=4
PKEY=68, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=5, SCORE=5
PKEY=69, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=6, SCORE=4
PKEY=70, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=7, SCORE=4
PKEY=71, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=8, SCORE=5
PKEY=72, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=9, SCORE=5
PKEY=73, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=10, SCORE=3
PKEY=74, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=HW, ITEM_ID=11, SCORE=4
PKEY=75, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=QU, ITEM_ID=1, SCORE=6
PKEY=76, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=QU, ITEM_ID=2, SCORE=8
PKEY=77, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=QU, ITEM_ID=3, SCORE=10
PKEY=78, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=QU, ITEM_ID=4, SCORE=6
PKEY=79, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=QU, ITEM_ID=5, SCORE=10
PKEY=80, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=QU, ITEM_ID=6, SCORE=9
PKEY=81, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=QU, ITEM_ID=7, SCORE=9
PKEY=82, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=EX, ITEM_ID=1, SCORE=26
PKEY=83, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=EX, ITEM_ID=2, SCORE=33
PKEY=84, STUDENT_ID=5, FNAME=ABIGAIL, LNAME=BROWN, TYPE=EX, ITEM_ID=3, SCORE=28
PKEY=85, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=1, SCORE=3
PKEY=86, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=2, SCORE=3
PKEY=87, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=3, SCORE=4
PKEY=88, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=4, SCORE=5
PKEY=89, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=5, SCORE=3
PKEY=90, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=6, SCORE=4
PKEY=91, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=7, SCORE=5
PKEY=92, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=8, SCORE=4
PKEY=93, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=9, SCORE=5
PKEY=94, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=10, SCORE=4
PKEY=95, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=HW, ITEM_ID=11, SCORE=4
PKEY=96, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=QU, ITEM_ID=1, SCORE=8
PKEY=97, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=QU, ITEM_ID=2, SCORE=6
PKEY=98, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=QU, ITEM_ID=3, SCORE=9
PKEY=99, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=QU, ITEM_ID=4, SCORE=5
PKEY=100, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=QU, ITEM_ID=5, SCORE=10
PKEY=101, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=QU, ITEM_ID=6, SCORE=9
PKEY=102, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=QU, ITEM_ID=7, SCORE=8
PKEY=103, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=EX, ITEM_ID=1, SCORE=28
PKEY=104, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=EX, ITEM_ID=2, SCORE=36
PKEY=105, STUDENT_ID=6, FNAME=OLIVIA, LNAME=JONES, TYPE=EX, ITEM_ID=3, SCORE=27
PKEY=106, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=1, SCORE=4
PKEY=107, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=2, SCORE=5
PKEY=108, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=3, SCORE=4
PKEY=109, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=4, SCORE=4
PKEY=110, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=5, SCORE=4
PKEY=111, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=6, SCORE=5
PKEY=112, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=7, SCORE=4
PKEY=113, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=8, SCORE=3
PKEY=114, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=9, SCORE=4
PKEY=115, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=10, SCORE=3
PKEY=116, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=HW, ITEM_ID=11, SCORE=5
PKEY=117, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=QU, ITEM_ID=1, SCORE=6
PKEY=118, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=QU, ITEM_ID=2, SCORE=9
PKEY=119, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=QU, ITEM_ID=3, SCORE=9
PKEY=120, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=QU, ITEM_ID=4, SCORE=6
PKEY=121, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=QU, ITEM_ID=5, SCORE=10
PKEY=122, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=QU, ITEM_ID=6, SCORE=9
PKEY=123, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=QU, ITEM_ID=7, SCORE=9
PKEY=124, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=EX, ITEM_ID=1, SCORE=40
PKEY=125, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=EX, ITEM_ID=2, SCORE=25
PKEY=126, STUDENT_ID=7, FNAME=JACOB, LNAME=MILLER, TYPE=EX, ITEM_ID=3, SCORE=31
PKEY=127, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=1, SCORE=4
PKEY=128, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=2, SCORE=4
PKEY=129, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=3, SCORE=3
PKEY=130, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=4, SCORE=5
PKEY=131, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=5, SCORE=4
PKEY=132, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=6, SCORE=5
PKEY=133, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=7, SCORE=3
PKEY=134, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=8, SCORE=5
PKEY=135, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=9, SCORE=3
PKEY=136, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=10, SCORE=4
PKEY=137, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=HW, ITEM_ID=11, SCORE=3
PKEY=138, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=QU, ITEM_ID=1, SCORE=7
PKEY=139, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=QU, ITEM_ID=2, SCORE=5
PKEY=140, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=QU, ITEM_ID=3, SCORE=7
PKEY=141, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=QU, ITEM_ID=4, SCORE=6
PKEY=142, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=QU, ITEM_ID=5, SCORE=10
PKEY=143, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=QU, ITEM_ID=6, SCORE=5
PKEY=144, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=QU, ITEM_ID=7, SCORE=8
PKEY=145, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=EX, ITEM_ID=1, SCORE=37
PKEY=146, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=EX, ITEM_ID=2, SCORE=38
PKEY=147, STUDENT_ID=8, FNAME=MICHAEL, LNAME=DAVIS, TYPE=EX, ITEM_ID=3, SCORE=25
PKEY=148, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=1, SCORE=3
PKEY=149, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=2, SCORE=3
PKEY=150, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=3, SCORE=4
PKEY=151, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=4, SCORE=4
PKEY=152, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=5, SCORE=4
PKEY=153, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=6, SCORE=5
PKEY=154, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=7, SCORE=3
PKEY=155, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=8, SCORE=4
PKEY=156, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=9, SCORE=5
PKEY=157, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=10, SCORE=3
PKEY=158, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=HW, ITEM_ID=11, SCORE=5
PKEY=159, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=QU, ITEM_ID=1, SCORE=6
PKEY=160, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=QU, ITEM_ID=2, SCORE=9
PKEY=161, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=QU, ITEM_ID=3, SCORE=5
PKEY=162, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=QU, ITEM_ID=4, SCORE=7
PKEY=163, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=QU, ITEM_ID=5, SCORE=5
PKEY=164, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=QU, ITEM_ID=6, SCORE=9
PKEY=165, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=QU, ITEM_ID=7, SCORE=8
PKEY=166, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=EX, ITEM_ID=1, SCORE=34
PKEY=167, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=EX, ITEM_ID=2, SCORE=25
PKEY=168, STUDENT_ID=9, FNAME=ISABELLA, LNAME=GARCIA, TYPE=EX, ITEM_ID=3, SCORE=25
PKEY=169, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=1, SCORE=4
PKEY=170, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=2, SCORE=4
PKEY=171, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=3, SCORE=4
PKEY=172, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=4, SCORE=5
PKEY=173, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=5, SCORE=5
PKEY=174, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=6, SCORE=4
PKEY=175, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=7, SCORE=5
PKEY=176, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=8, SCORE=4
PKEY=177, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=9, SCORE=3
PKEY=178, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=10, SCORE=5
PKEY=179, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=HW, ITEM_ID=11, SCORE=4
PKEY=180, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=QU, ITEM_ID=1, SCORE=8
PKEY=181, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=QU, ITEM_ID=2, SCORE=8
PKEY=182, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=QU, ITEM_ID=3, SCORE=7
PKEY=183, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=QU, ITEM_ID=4, SCORE=10
PKEY=184, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=QU, ITEM_ID=5, SCORE=8
PKEY=185, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=QU, ITEM_ID=6, SCORE=5
PKEY=186, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=QU, ITEM_ID=7, SCORE=6
PKEY=187, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=EX, ITEM_ID=1, SCORE=26
PKEY=188, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=EX, ITEM_ID=2, SCORE=39
PKEY=189, STUDENT_ID=10, FNAME=JOSHUA, LNAME=RODRIGUEZ, TYPE=EX, ITEM_ID=3, SCORE=39
PKEY=190, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=1, SCORE=5
PKEY=191, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=2, SCORE=3
PKEY=192, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=3, SCORE=5
PKEY=193, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=4, SCORE=4
PKEY=194, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=5, SCORE=3
PKEY=195, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=6, SCORE=4
PKEY=196, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=7, SCORE=5
PKEY=197, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=8, SCORE=3
PKEY=198, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=9, SCORE=4
PKEY=199, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=10, SCORE=3
PKEY=200, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=HW, ITEM_ID=11, SCORE=5
PKEY=201, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=QU, ITEM_ID=1, SCORE=5
PKEY=202, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=QU, ITEM_ID=2, SCORE=10
PKEY=203, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=QU, ITEM_ID=3, SCORE=6
PKEY=204, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=QU, ITEM_ID=4, SCORE=5
PKEY=205, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=QU, ITEM_ID=5, SCORE=6
PKEY=206, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=QU, ITEM_ID=6, SCORE=5
PKEY=207, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=QU, ITEM_ID=7, SCORE=8
PKEY=208, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=EX, ITEM_ID=1, SCORE=31
PKEY=209, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=EX, ITEM_ID=2, SCORE=35
PKEY=210, STUDENT_ID=11, FNAME=HANNAH, LNAME=WILSON, TYPE=EX, ITEM_ID=3, SCORE=26
PKEY=211, STUDENT_ID=12, FNAME=SAMANTHA, LNAME=MARTINEZ, TYPE=HW, ITEM_ID=1, SCORE=3
PKEY=212, STUDENT_ID=12, FNAME=SAMANTHA, LNAME=MARTINEZ, TYPE=HW, ITEM_ID=2, SCORE=5
PKEY=213, STUDENT_ID=12, FNAME=SAMANTHA, LNAME=MARTINEZ, TYPE=HW, ITEM_ID=3, SCORE=3
