Dealer Name: Ed's Honda One
Address:     7243 Lee Road
             Clarksville, NC
Dealer ID:   2
Owner:       Tipton, Ed
Date:        Mon, Dec  3, 2013 thru Sun, Dec  9, 2013  
New Car Sales
 
        VIN            Model    Year  Price  Orig.       Sales Agent              Sales Date        Agent ID
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S132549X742X  Accord       2013  21186  22480  Shelton, Marion         Fri, Dec  7, 2013       D02-02-04 
 JA111S1365495C972  Accord       2013  22228  22480  Shelton, Judith         Wed, Dec  5, 2013       D02-02-03 
 JB127S13454929644  Civic        2013  15683  16655  Shelton, Marion         Thu, Dec  6, 2013       D02-02-04 
 JH15AS11354918536  Odyssey      2013  28547  29375  Snyder, Pauline         Thu, Dec  6, 2013       D02-02-06 
 JB122SU2A54971B98  Civic        2013  15957  17255  Snyder, Pauline         Tue, Dec  4, 2013       D02-02-06 
 JH155FU1054971BAX  Odyssey      2013  45105  47825  Snyder, Pauline         Thu, Dec  6, 2013       D02-02-06 
 JB121S1285493A762  Civic        2013  15502  16455  Shelton, Judith         Tue, Dec  4, 2013       D02-02-03 
 
Used Car Sales
 
        VIN            Model    Year  Price  Orig.        Sales Agent             Sales Date        Agent ID 
 =================  ==========  ====  =====  =====  ======================  ======================  =========
 JA111S1312265C893  Accord      2010  14939  22480  Moore, Carla            Mon, Dec  3, 2013       D02-02-02 
 JH153FU16Y1571AB5  Odyssey     2008  22800  45825  Shelton, Judith         Wed, Dec  5, 2013       D02-02-03 
 JH152SU1A44P5C897  Odyssey     2012  25150  30375  Shelton, Judith         Fri, Dec  7, 2013       D02-02-03 
 JH152SU1A15P82BC9  Odyssey     2009  27489  30375  Moore, Carla            Tue, Dec  4, 2013       D02-02-02 
 JG148F11A24918461  Insight     2010  15753  24390  Simpson, Greg           Tue, Dec  4, 2013       D02-02-05 
 JJ163F3192113A683  Pilot       2010  27644  42970  Shelton, Marion         Fri, Dec  7, 2013       D02-02-04 
 JH153FU1631518465  Odyssey     2011  33318  45825  Moore, Carla            Wed, Dec  5, 2013       D02-02-02 
 JE143FU1AX1871AC7  Crosstour   2007  16076  40640  Shelton, Judith         Tue, Dec  4, 2013       D02-02-03 
 JG148F1162X882BX9  Insight     2010  15753  24390  Snyder, Pauline         Fri, Dec  7, 2013       D02-02-06 
 JH152SU152353A691  Odyssey     2010  20134  30375  Snyder, Pauline         Tue, Dec  4, 2013       D02-02-06 
 JC132FU1032718473  CR-V        2011  23814  31995  Snyder, Pauline         Tue, Dec  4, 2013       D02-02-06 
 JC131F11A1246X9C5  CR-V        2009  19216  30995  Moore, Carla            Fri, Dec  7, 2013       D02-02-02 
 JB121S12121471AX7  Civic       2010  10975  16455  Moore, Carla            Wed, Dec  5, 2013       D02-02-02 
 JD136F11732629589  CR-Z        2011  18463  24705  Shelton, Judith         Mon, Dec  3, 2013       D02-02-03 
 JD138FU14534X7371  CR-Z         2013  25744  27705  Moore, Carla            Tue, Dec  4, 2013       D02-02-02 
 JC132FU164124B7B3  CR-V        2012  26462  31995  Moore, Carla            Fri, Dec  7, 2013       D02-02-02 
 JB123H1551376X9X5  Civic       2009  17112  27600  Watson, Peggy           Fri, Dec  7, 2013       D02-02-01 
 JB121S120234X7377  Civic       2010  10975  16455  Moore, Carla            Thu, Dec  6, 2013       D02-02-02 
 JH156S319Y125C8C9  Odyssey     2008  15828  30375  Shelton, Judith         Sun, Dec  9, 2013       D02-02-03 
 JJ163F3101464B7C1  Pilot       2009  25782  42970  Snyder, Pauline         Fri, Dec  7, 2013       D02-02-06 
 JE142FU17227X7383  Crosstour   2010  25573  38640  Shelton, Marion         Wed, Dec  5, 2013       D02-02-04 
 JB127S13821318495  Civic       2010  11107  16655  Shelton, Judith         Tue, Dec  4, 2013       D02-02-03 
 JG148F11322471A27  Insight     2010  16196  24390  Shelton, Marion         Fri, Dec  7, 2013       D02-02-04 
